part,title,rating,text
경제/경영,돈의 속성(200쇄 리커버에디션),4,"다른 책을 구매했는데, 이 책 부록이 들어있었네요. 내용이 참 좋아 이 책도 사보게되네요. 저자의 다른 책들도 궁금해지네요."
경제/경영,돈의 속성(200쇄 리커버에디션),4,"책은 처음 발간 되었을때 이미 사서 읽었습니다.
그런데도 이번에 또 구매를 한건, 저자 친필 사인본이 담겨있는 양장본으로 소장하고 싶어서 였습니다. 그런데, 도서에 친필사인이 없더군요. 교보문고에 문의해보니 친필사인본이 모두 소진되어 그럴수 있다는데, 한마디로 어이없습니다.
참고로 저는 친필사인 양장본 발간 광고 문자를 받자마자 주문했습니다. 사겠다는 사람이 많았을테니 사인본이 이미 sold out 되었다고 해도 이해합니다.
하지만, 사인이 없는 도서를 받을수도 있다는 사전 안내도 없었고, 지금도 사인본을 구매할수 있는 것처럼 도서 구매 페이지에 '친필사인본' 이라고 버젓이 나와있네요. 저처럼 친필사인본 구매하려고 하시는 다른분들 참고하세요. 웬만하면 리뷰를 안남기는데 하도 어이가 없어서 남깁니다.

좋은책에 대한 리뷰를 이렇게 남기게 되어 유감이네요.
책은 정말... 꼭 읽어야 하는 책입니다."
경제/경영,돈의 속성(200쇄 리커버에디션),2,그냥 그렇습니다.
경제/경영,돈의 속성(200쇄 리커버에디션),3,"자신의 주장을 사례를 들어 구성하여 받아들이기 좋았으나 전문적인 분야에서는 다소 틀리거나, 가난한 사람들의 현실과는 괴리가 있는 미약한 사례가 있어 아쉽다. 그러나 실전 경험에서 우러나오는 것으로 유용하게 잘 읽었다."
경제/경영,돈의 속성(200쇄 리커버에디션),1,돈의 속성리뷰(부의 대이동으로 리뷰가 옮겨진 이유가 궁금하네요?) 장투가 답은 아니다. 10년동안 살아남은 주식 단 두개. 앞으로는 어떨지 아무도 모르죠. 꽃가게랑 주식(아직수익실현전)으로 부진한 부를 책써서 메꾸고 계신분인듯.
경제/경영,돈의 속성(200쇄 리커버에디션),4,"경제에 대한 내용 뿐만 아니라, 규칙적이고 생산적인 생활습관의 중요성을 역설한 책."
경제/경영,돈의 속성(200쇄 리커버에디션),1,이사람 강남좌빨임 p68 뜬금없이 ''꼰대가되고 꼴통 보수가되는 것은 한순간이다'' 먼소리야 p75''일명선진국으로 알려진 미국과 영국 그리고 유럽 주요강국들이 그렇게 허무하게 무너져버렸다 ''코로나 방역이 우리나라가 세계 최고였데 대깨문이였네 돈의 속성얘기하라니까 k방역 국뽕질 아니나다를까 586깨시민이네
경제/경영,돈의 속성(200쇄 리커버에디션),4,돈에 대한 가치와 돈을 모으는 것에 대한 기본이 되는것을 알려주는 책! 뭔가 마음이 서두르거나 지칠때 두고두고 꺼내읽어도 좋을꺼같다!
경제/경영,돈의 속성(200쇄 리커버에디션),4,너무 좋은 내용이 많이 있네요 틈틈히 되새겨 볼만 합니다
경제/경영,돈의 속성(200쇄 리커버에디션),3,저는 그냥 그렇네요. 부자됩시다 모두
경제/경영,돈의 속성(200쇄 리커버에디션),2,"다 읽고 리뷰 남깁니다. 모두가 같은 느낌을 받을 수 없지만, 주된 내용은 부자들의 습관 그리고 저자의 돈을 벌 수 있었던 내용을 기술되었는데요. 실상은 주식 투자를 통해서 부의 독립적인 내용입니다."
경제/경영,돈의 속성(200쇄 리커버에디션),4,추천이 많아서 사서 읽고 있습니다. 지루하지않고 술술 넘어가지네요
경제/경영,돈의 속성(200쇄 리커버에디션),3,많은경험과 정확한분석 그리고 꾸준한 공부가 부를 이룰 수는 있지만 그래도 큰부자는 운이 따라야 한다는 말씀은 틀림이 없습니다. 앞을내다보는 선견을 느낄 수 있었습니다.
경제/경영,돈의 속성(200쇄 리커버에디션),4,경제관련 도서에 흥미가 없어 거의 읽어본적이 없는데... 뭔가 다르긴 다릅니다. 잘읽히고 경제적인 관점에서 나의 삶이나 태도에 대해 반성을 많이 하게 되는 책이네요
경제/경영,돈의 속성(200쇄 리커버에디션),4,아이들에게 경제관에 대해 그나마 설명할 수 있게되는 도움의 책 입니다
경제/경영,돈의 속성(200쇄 리커버에디션),4,"돈에 관한 자세에 대해 설명하는 내용으로 어떻게 돈을 벌수 있는 수단을 알려주는 것이 아니라 돈에 대한 관점에서 어떠한 자세를 가지고 살아야 하는 지침같은 책입니다.
평이 많아 한번 구매해 봤는데, 괜찮네요."
경제/경영,돈의 속성(200쇄 리커버에디션),4,기다리고 기다리던 책이 드디어 도착했네요!!
경제/경영,돈의 속성(200쇄 리커버에디션),4,이번 6월말 독서모임 도서로 선정되어 구매합니다. 좋은 내용 기대할께요.
경제/경영,돈의 속성(200쇄 리커버에디션),4,나두 유튜브 보고 구매
경제/경영,돈의 속성(200쇄 리커버에디션),4,평소 김회장님 다른 책들을 보고 돈버는 비밀에 대해 알고싶었는데 드디어 책으로 나왔군요. 유튜브를 여러 번 보고 책 구매합니다. 유튜브에 좋은 영상들이 많으니 저처럼 꼭 영상도 같이 보시길 권해드립니다~~~
경제/경영,돈의 속성(200쇄 리커버에디션),4,정말 기대가 많이 되는 책입니다. 기다려집니다.
경제/경영,돈의 속성(200쇄 리커버에디션),4,내 인생책중의 하나가 되었음
