,part,title,rating,text
87,인문,사피엔스,평점5점,잘 읽혀요! 인류학에 대한 호기심이 어느정도 해소됩니다
88,인문,사피엔스,평점5점,추천합니다
89,인문,사피엔스,평점5점,책을 또 구입해서 선물로 지인에게 주었습니다~ 꼭읽어야할책!
90,인문,사피엔스,평점5점,"아직 읽진 않았지만, 흥미로울 거 같아요"
91,인문,사피엔스,평점4점,몇몇 내용은 충격적으로 놀랍다
92,인문,사피엔스,평점4점,잘 봤습니다~
93,인문,사피엔스,평점5점,폰만 보던 나를 독서의 세계로 이끈 책이다.
94,인문,사피엔스,평점5점,좋아요
95,인문,사피엔스,평점5점,추천합니다
96,인문,사피엔스,평점4점,잘 봤어요
97,인문,사피엔스,평점5점,좋은책이에요 딸아이가좋아합니다
98,인문,사피엔스,평점4점,베스트셀러 추천
99,인문,사피엔스,평점5점,추천합니다
100,인문,사피엔스,평점5점,결국은 구매한 책
101,인문,사피엔스,평점5점,잘 팔리는 책이 꼭 좋은 책은 아니지만... 이 책은 정말 좋은 책이다.
102,인문,사피엔스,평점5점,필독서래서 삼
103,인문,사피엔스,평점5점,인류역사를 고찰하고 미래를 거대시각에서 예측함을 지켜봄
104,인문,사피엔스,평점5점,두껍지만 내용이 흥미로워 몰입하게 되네요
105,인문,사피엔스,평점5점,재밌어요
106,인문,사피엔스,평점5점,흥미로워요!!
107,인문,사피엔스,평점5점,너무 재밌어요ㅠ
108,인문,사피엔스,평점4점,좋아요
109,인문,사피엔스,평점5점,추천도서여서 구매했는데 정말 잘 읽었습니다.
110,인문,사피엔스,평점4점,기본 인문학 책이라고 평이 좋아 구매했습니다~~^^
111,인문,사피엔스,평점5점,기본인문학 종의역사
112,인문,사피엔스,평점5점,잘보겠습니다
113,인문,사피엔스,평점4점,나이들어 느끼게 되는 인간의 존재와 의문점들에 대하여..
114,인문,사피엔스,평점4점,인간의 진화에 따른 발전상을 알기쉽게 풀이해준 책
115,인문,사피엔스,평점5점,추천도서로 구매했습니다.
116,인문,사피엔스,평점5점,세계를 보는 다른 관점을 갖게 해주는 책 . 매일 흥미롭고 재미있까지해서 꼭 읽어볼만한 책
117,인문,사피엔스,평점5점,저자의 통찰력에 내내 감탄하며 읽었습니다
118,인문,사피엔스,평점5점,도전해볼게요
119,인문,사피엔스,평점4점,인식의 범위를 넓히게 해준 책..
120,인문,사피엔스,평점5점,사피엔스의 시각으로 바라보는 인류사가 아닌 지구의 눈으로 바라보는 지구 역사속의 사피엔스~
121,인문,사피엔스,평점5점,유하라 멋지다. 이걸 읽은 나는 더 멋지다
122,인문,사피엔스,평점5점,좋아요
123,인문,사피엔스,평점4점,"무릎을 탁 치게 한 책, 신선한 발상에 재미가 배가되었다."
124,인문,사피엔스,평점5점,좋은 인문학책
125,인문,사피엔스,평점3점,잘 읽었습니다
126,인문,사피엔스,평점4점,추천합니다.
127,인문,사피엔스,평점5점,역시 인문학 교양서 하면 사피엔스이지요.
128,인문,사피엔스,평점5점,개인적으로 살면서 궁금했던 부분들이 담겨 있는 책이라 더 재밌게 봄
129,인문,사피엔스,평점5점,잘 읽었습니다.
130,인문,사피엔스,평점5점,역사와 인간에 대해 다시한번 생각해보게 하였다.
131,인문,사피엔스,평점4점,잘 읽어봤어요
132,인문,사피엔스,평점5점,"사피엔스, 왜 인류가 대단한 지 그 역사를 들여다 볼 수 있는 책"
133,인문,사피엔스,평점5점,쉽진 않네요ㅠㅠ 근데 배울 건 많ㅇㅏ요
134,인문,사피엔스,평점4점,소장용으로 구매했어요~
135,인문,사피엔스,평점5점,재밌어요~
136,인문,사피엔스,평점5점,시간을 오래 갖고 보실 추천해요ㅠㅠ어려움
137,인문,사피엔스,평점5점,기대됩니다
138,인문,사피엔스,평점5점,좋아요
139,인문,사피엔스,평점5점,연말연휴때 읽으려고 구매하였습니다. 시간 가는줄 모르겠어요
140,인문,사피엔스,평점4점,기대됩니다!
141,인문,사피엔스,평점5점,예전부터 보고 싶었던 책이었는데 이제야 보네요 잘봤습니다
142,인문,사피엔스,평점4점,읽는데 시간이 걸렸지만 유익했습니다
143,인문,사피엔스,평점5점,기대되네요!
144,인문,사피엔스,평점4점,조카가 방학동안 읽고 남다른 새로운 시각으로 중학교에 입학하길 바라는 마음입니다
145,인문,사피엔스,평점5점,유발 하라리 교수의 날카로운 통찰이 엿보이는 명저입니다
