part,title,rating,text
교양과학,코스모스,3,책을 많이 주문해서 이제서야 읽기 시작했는데 두페이지 정도가 이렇게 찌그러져 있네요ㅠ 기간도 기간이고 제주도라서 교환신청하기도 좀 그래서 그냥 읽으렵니다ㅠㅠ 그래도 예전부터 읽고 싶었던 책이라서 과감히 구매를 결정했습니다. 과학책이지만 정말 재밌더라구요. 학술적인 내용으로 가득 찬 여타 다른 책들과는 달리 재밌는 표현도 많아서 좋았습니다. 두꺼운 책이지만 단숨에 읽을 수 있을 것 같네요. 아쉬운건 아쉬운거고 책 자체는 재밌어서 좋습니다. 조금 더 어릴 때 이 책을 읽었더라면 제가 천체물리학자를 목표로 공부했을지도 모르겠네요ㅎㅎ
교양과학,코스모스,4,"정말 경이로움 그 자체이다. 3챕터까지 읽다가 너무 놓치는 부분이 많은 것 같아서 다시 처음부터 읽기 시작했다. 그리고 이제 4챕터를 읽는 중이다. 읽는 내내 희열을 만끽했다. 계속 드는 의문과 궁금함 그리고 떠오르는 감상평으로 산 지 며칠 밖에 되지 않은 책은 작은 글씨들과 형광팬으로 어질러져 버렸다. 아마도 1,2번정도는 더 읽게 될 것이다. 칼 세이건에 이미 푹 빠져버렸고, 칼세이건과 같은 저명한 학자이자 교수가 되고자 꿈을 품게 되었다. 너무나 경이롭고 감사한 책이며, 언젠가는 나도 이러한 책을 쓰고 말겠다는 다짐을 하게된다."
교양과학,코스모스,4,"생각 할 수 있는 꺼리가 많아요. 사피엔스, 총균쇠 등과 함께 읽으면 더 좋을 듯 합니다!"
교양과학,코스모스,4,보급품이라길레 종이 안좋은줄 알았더니 양장본 뺨칩니다 빨리 사세요!
교양과학,코스모스,4,아껴 보고 싶은 책입니다.
교양과학,코스모스,4,알쓸신잡에 나온 책 기대됩니다 ..
교양과학,코스모스,4,책이 너무 비싸서 못읽었는데 이렇게 보급판으로 볼 수있어서 좋아요 요새 바이러스때문에 밖에 나가지 못하는데 집에서 오래도록 읽을 수 있겠네용~
교양과학,코스모스,4,아는 사람만 아는 청소년 필독서 두꺼워서 가성비도 좋아요
교양과학,코스모스,4,거대하고 장구한 스케일을 담고있는 책이라 섯불리 대들 수 없을것 같아도 용기를 내서 만난 책~ 정말 살면서 한번쯤을 읽어봐야 할 가치가 있는 책입니다~
교양과학,코스모스,4,정독할거에요
교양과학,코스모스,4,사물에 대한 지평을 넓혀줍니다
교양과학,코스모스,4,"첨에 두께 보고 놀랐어요. 벽돌책은 처음에 꺼려지는데 막상 지금 읽어보니 잘 읽혀요
과학자들이 청소년에게 권하는 필독도서라기에 청소년도 읽는데 나라고 못읽겠냐 해서 구매했는데 이거 정말 좋은 책이에요"
교양과학,코스모스,4,인생도서입니다 꼭읽으세요
교양과학,코스모스,4,필독도서로 추천합니다
교양과학,코스모스,4,과학 좋아하는 아이에게 여름방학때 읽힐려고 구매했어요. 첫장 읽어보더니 빨리 읽고 싶어 합니다.
교양과학,코스모스,4,삭제된 리뷰입니다.
교양과학,코스모스,4,이 책을 읽으면서 일상의 작은 마음에서 해방되는 시간을 갖고싶다
교양과학,코스모스,4,좋아용~
교양과학,코스모스,4,두 번 세 번 읽어도 좋은 책입니다
교양과학,코스모스,4,좋아요
교양과학,코스모스,4,꼭 읽어봐야할 책
교양과학,코스모스,4,평소에 알디 못하던 분야에 대한 정보를 재미있게 얻을수 있는 좋은 기회가 되었어요
교양과학,코스모스,4,드디어 도전합니다! 우주에 대해 처음으로 관심이 생긴 책이에요
교양과학,코스모스,4,정말 유용한 책입니다.
교양과학,코스모스,4,바로드림 첫결제 이벤트로 엄청 저렴하게 샀어요 도서관에서 빌려읽고 감동먹어서 소장하고 싶었는데 이렇게 저렴하게 구할수 있어서 너무 좋네요
교양과학,코스모스,4,학창시절 대표교양서적 다시 한번 읽고 소장하고 싶어 구매했네요 양장보다 친근하고 좋습니다
교양과학,코스모스,4,생일 선물로 사드렸는데 굉장히 좋아하셔서 뿌듯했습니다. 읽으면 읽을 수록 깊이가 더해지는 책인 것 같아서 저도 한 권 소장할까 생각이 들 정도였습니다. 덕분에 좋은 생일 보냈네요~
교양과학,코스모스,4,우주적 시야를 알려준 책
교양과학,코스모스,4,말이 필요없는 책이에요
교양과학,코스모스,4,과학 서적은 잘 읽지 않았었는데 재미있네요.
교양과학,코스모스,4,꼭 봐야하는 명작!
교양과학,코스모스,4,아직 초반부이지만 생각보다 어렵지 않게 읽을 수 있어요!
교양과학,코스모스,4,너무 좋은 책입니다
교양과학,코스모스,4,도서관에서 빌려보고...소장해서 읽고싶어 구입했어요.
교양과학,코스모스,4,엘러건트 유니버스와 함께 읽으려 구매합니다. 천천히 읽어봐야겠어요.
교양과학,코스모스,3,한번쯤은 읽어봐야...
교양과학,코스모스,3,좀 어려워요 유명하길래 읽어보았는데 관심이 아예 없던사람은 많이 쉬운책은 아닌것 같아요 대신 유튜브도 보고 보니까 이해가 좀더 쉬웠어여
교양과학,코스모스,4,"아직도 가슴을 설레이게 하는 광대하고 웅장한 ... ‘리스펙트’ 그 자체.
또다른 코스모스를 기대하며..."
교양과학,코스모스,4,두께가 있어 휴대하며 읽기엔 쉽지 않지만 여튼 넘 좋은 책이에요
교양과학,코스모스,4,"과학과 역사의 만남, 우주 시민으로서의 책임감을 일깨워 주는 책. 전세계인의 필독서로 추천합니다,."
교양과학,코스모스,4,꼭 읽어보세요. 모두에게 추천합니다
교양과학,코스모스,4,처음 읽고 느꼈던 감동을 다시 느껴보려고 전자책으로 구매했어요~기대됩니다^^
교양과학,코스모스,4,생각보다 어렵지 않아서 아이도 잘 읽어요
교양과학,코스모스,4,학생이 공부하기 좋아요
교양과학,코스모스,4,어릴 적 봤으면 좋았을 책..지금도 물론 좋지만
교양과학,코스모스,4,보급판 시서 읽다가 결국 .. 양장본도 샀어요*__* 이건 칼라사진과 함께해야해.. 놀라움+ 생각이 많아지는 책
교양과학,코스모스,4,기대가 됩니다 ^^
교양과학,코스모스,4,나를 돌아보고 앞으로 어떠한 자세로 살아가야할지 생각해보게 하는 책
교양과학,코스모스,4,칼세이건의 표현력이 훌륭하다
교양과학,코스모스,3,넷플릭스 기묘한이야기에도 언급되는 흥미로운 책입니다.
교양과학,코스모스,4,왜 필독인지 알수있어요
교양과학,코스모스,4,예전부터 읽고 싶던 책인데 정말 읽으면서 경이로움을 느꼈습니다
교양과학,코스모스,4,우주에 대한 이해를 흥미롭게 이끌어주는 책
교양과학,코스모스,4,재미있게 잘 읽었습니다.
교양과학,코스모스,4,소장 가치 있는 책이에요 흥미로워요
교양과학,코스모스,4,워낙 유명한 책이라 기대를 가지고 읽었습니다. 저처럼 비전문가한테는 조금 어렵기는 하지만 인류를 위해 유용한 책임이 분명합니다.
교양과학,코스모스,4,지구에 인간으로 태어났다면 반드시 읽을 가치가 있는 책입니다.
교양과학,코스모스,4,괜히 인기도서가 아니네요 흥미롭습니다
교양과학,코스모스,4,창백한 푸른점 우주과학에 대한 교양서
교양과학,코스모스,4,어려운 이야기를 쉽게 쓴다고 썼지만 여전히 어려웠다. 모든 내용을 완벽하게 이해하기는 어렵더라도 우주를 바라보는 올바른 관점을 얻을 수 있다. 어렵고 방대하지만 부담을 내려놓고 가볍게 읽기를 권한다.
교양과학,코스모스,4,우주 최고의 우주교과서.
교양과학,코스모스,4,과학과 인문이 적절하게 섞여서 재밌게 봤어요
교양과학,코스모스,4,재밌어요 여러번 읽어도 재밌네요
