part,title,rating,text
인문,사피엔스,4,기대한만큼 좋았던 책 속편도 기대된다
인문,사피엔스,4,추천 받아 읽었는데 재미있게 잘 봤습니다.
인문,사피엔스,4,"이 책이 대단한 이유는 돈,신화,언어,제국등 이미 남들이 발견한 것들을 아울러 ""상상의 허구""라는 단어를 통해 인간이 동물과 구별되는 본질을 꿰뚫고 있음"
인문,사피엔스,4,재밌는 인문학 도서. 좋습니다.
인문,사피엔스,4,아주 좋습니다. 감사합니다.
인문,사피엔스,4,좋은책입니다 ! 시간가는줄 몰랐어요 ~ 무척 재미있고 내용도 유익했어요 내용도 잘 읽혀요 !! 빠른 배송으로 편하게 읽고 있습니다
인문,사피엔스,3,인류의 기원 과학에 대한 탐구를 위해 구매
인문,사피엔스,4,'사피엔스' 드디어 시작입니다.
인문,사피엔스,4,정말 잘 읽었습니다. 오랜만에 집중해서 읽은 책이에요
인문,사피엔스,4,올래 독서목록에 있는 책
인문,사피엔스,4,교수님이 추천하는 책이라서 그매했어요 기대됩니다!
인문,사피엔스,4,반드시 정독해야 할 필독서
인문,사피엔스,4,사 피 엔 스
인문,사피엔스,4,인류가 걸어온 길 그 역사를 바라보는 통찰력이 매우 흥미롭게 느껴졌습니다
인문,사피엔스,4,재미있어요. 잘 읽고 있습니다.
인문,사피엔스,4,인간 역사와 전망을 통찰력 있게 분석한 책
인문,사피엔스,3,다이나믹한 인류의 일대기를 본 기분이다.
인문,사피엔스,4,조금 어렵지만 읽어보겠습니다^^
인문,사피엔스,4,"기발하고, 유익하고, 잘 읽히는 책. 무엇보다 재미있다."
인문,사피엔스,3,워낙 유명하길래 구매
인문,사피엔스,4,어려울 줄 알았는데 생각보다 읽기 쉬우면서 얻는 건 많은 책이었습니다. 관점들이 새로운 부분이 많아서 재밌었어요. 같은 내용 반복이 많은게 아쉽지만 한편으로는 그 덕분에 더 읽기 쉽다고 느낀 것일수도
인문,사피엔스,4,좋아요 추천합니다~~ 명작입.
인문,사피엔스,4,좋습니다. 워낙 유명한 책이라 재미있게 읽을께요.
인문,사피엔스,4,티비보고 읽고 싶어서 주문 해 봤어요.잘 읽을게요❤
인문,사피엔스,4,한번은 꼭 읽어봐야 할 책
인문,사피엔스,4,인간의 인류학적 걸어온 길을 쉽게 이야기한책. 우리가 현재 살아가고 있는 길이 왜 그렇게 되었는지를 이야기 하는 책입니다. 정말 좋습니다.
인문,사피엔스,4,인간의 사회적 진화에 관한 이야기다.
인문,사피엔스,4,말해뭐해요. 인생에 한번쯤 읽는다고 절대 손해볼 일 없는 책
인문,사피엔스,4,정독할 필요가 있어요
인문,사피엔스,4,내용이 너무 어렵지 않았어요 그래서 편하게 읽을 수 있었고 다들 꼭 읽어보셨으면 좋겠어요
인문,사피엔스,1,제국주의를 예찬하는 장면은 읽는 내내 마음을 불편하게 만들었다.
인문,사피엔스,4,사람이 꼭 읽어봐야 될 책이라 생각합니다
인문,사피엔스,4,빠른 배송 감사합니다.^^
인문,사피엔스,4,역사공부가 문득 하고싶어서 이것 저것 찾아보다 이책이 추천으로 자주 뜨길래 구매했습니다 책 자체는 오래 전부터 익히 알고 있었던지라 과연 이 두꺼운 책에 도전 할 수 있을까 걱정부터 들었지만 일단 구매 하면 언젠가는 읽겠지 싶어 대뜸 사버렸어요 역시나 읽기전 리뷰입니다~ 하하
인문,사피엔스,4,의미로운 어떤 질문과 마주하는 기쁨을 누리세요.
인문,사피엔스,4,너무좋은책이입니다 추천해요
